entry,class,source,form,title,location,published,corrected,note,claim_ids
1,definition,pipeline,full,Two outcome scales are described as running from 1 to 4 and are analysed as running from 0 to 3,"published, Outcome Measures","Confidence in Candidate: ""How confident are you in [Candidate]'s ability to make the right decisions about illegal immigration? Are you very confident, somewhat confident, not too confident, or not at all confident?"" [Scale from [[1 to 4]], where [[4]] indicates greater confidence]

Linked Fate: ""Do you think that what happens generally to Hispanics and Latinos in this country will have something to do with what happens in your life? Will it affect you a lot, some, a little or not at all?"" [Scale from [[1 to 4]], where [[4]] indicates ""a lot""]

(Scale from [[1 to 4]], where [[4]] indicates greater confidence.)

(Scale from [[1 to 4]], where [[4]] indicates ""a lot."")","Confidence in Candidate: ""How confident are you in [Candidate]'s ability to make the right decisions about illegal immigration? Are you very confident, somewhat confident, not too confident, or not at all confident?"" [Scale from [[0 to 3]], where [[3]] indicates greater confidence]

Linked Fate: ""Do you think that what happens generally to Hispanics and Latinos in this country will have something to do with what happens in your life? Will it affect you a lot, some, a little or not at all?"" [Scale from [[0 to 3]], where [[3]] indicates ""a lot""]

(Scale from [[0 to 3]], where [[3]] indicates greater confidence.)

(Scale from [[0 to 3]], where [[3]] indicates ""a lot."")","The confidence and linked fate variables in the replication data take the values 0, 1, 2, 3 and are analysed on that scale, so the control means the article reports for them are on a 0-to-3 scale as well: 1.768 for confidence in Bush in Table 8 and 2.080 for linked fate in Table 9. The three other outcome measures are described correctly. A shift of the scale leaves every treatment effect unchanged, so no estimate in Tables 8 or 9, in appendix Tables A.3 or B.8, or in Figures 1 or 2 is affected; what the correction changes is how a reader should read the constants. The last two quotations above are the same two brackets as they are restated in appendix section D, beside the Spanish version of each question; they take the same correction.",design_confidence_min;design_confidence_max;design_confidence_top;design_linked_fate_min;design_linked_fate_max;design_linked_fate_top
2,cross_reference,pipeline,full,Three references to a lettered appendix section name the wrong section,"published, main text","In our first experiment (Bush), we collected responses from 2,866 self-identified Latinos, of which 1,862 passed a language quiz in both Spanish and English, the full text of which is presented in the supplemental Appendix [[D]].

We present the English-language versions here; subjects assigned to the Spanish-language survey saw these questions in Spanish, the full text of which is available in the supplemental Appendix [[C]].

Our substantive results do not depend on this choice (see supplemental Appendix [[A]] for logistic regression tables equivalent to Tables 5 and 7).","In our first experiment (Bush), we collected responses from 2,866 self-identified Latinos, of which 1,862 passed a language quiz in both Spanish and English, the full text of which is presented in the supplemental Appendix [[E]].

We present the English-language versions here; subjects assigned to the Spanish-language survey saw these questions in Spanish, the full text of which is available in the supplemental Appendix [[D]].

Our substantive results do not depend on this choice (see supplemental Appendix [[C]] for logistic regression tables equivalent to Tables 5 and 7).","Each of the three sends the reader to a section holding different material: Appendix D is Spanish-Language Survey, Appendix C is Binary Choice Models, and Appendix A is Interaction Regression Specifications. The article's two other references, to Appendix A for the interaction specifications and to Appendix B for the partisanship tables, resolve correctly, as does the cross-reference from appendix section C to Tables 5 and 7.",design_appendix_quiz_reference;design_appendix_survey_reference;design_appendix_logit_reference
3,spelling,reading,brief,A misspelled word in the account of the randomized language-of-contact experiments,"published, p. 614",Binder and [[colleages]] (2013),Binder and [[colleagues]] (2013),,
4,spelling,reading,brief,Figure 2's caption misspells advertisement,"published, p. 628",Heterogeneous effects of Spanish-language [[advertisment]] on four outcomes,Heterogeneous effects of Spanish-language [[advertisement]] on four outcomes,,
5,spelling,reading,brief,A misspelled word in note 4,"published, p. 631",The quiz was administered [[post-treatmeant]].,The quiz was administered [[post-treatment]].,,
6,spelling,reading,brief,A misspelled word in appendix section C,"supplemental appendix, p. 5",we include [[logisitic]] regression tables for completeness,we include [[logistic]] regression tables for completeness,,
7,bibliographic,crossref,brief,Both authors' names are mangled in the Soto and Merolla reference,"published, p. 633","[[Soto, V. M., & Merolla, D. J. L.]] (2006).","[[DeFrancesco Soto, V. M., & Merolla, J. L.]] (2006).",The authors of record for doi:10.1007/s11109-006-9012-7 are Victoria M. DeFrancesco Soto and Jennifer L. Merolla. The publisher's reference processor dropped DeFrancesco from the first surname and carried its initial onto the second author's. The in-text citations follow the published surname and are left as they stand.,
8,bibliographic,crossref,brief,The first author's surname is mangled in the Lavariega Monforti reference,"published, p. 633","[[Monforti, J. L.]], Michelson, M., & Franco, A. (2013).","[[Lavariega Monforti, J.]], Michelson, M., & Franco, A. (2013).",The author of record for doi:10.1080/21565503.2013.842491 is Jessica Lavariega Monforti. Lavariega is part of the surname and has been demoted to an initial. The in-text citations follow the published surname and are left as they stand.,
9,bibliographic,crossref,brief,The Mackie and Cooper reference prints a first page in place of a page range,"published, p. 632","Journal of Personality and Social Psychology, 46(3), [[575]].","Journal of Personality and Social Psychology, 46(3), [[575-585]].",doi:10.1037/0022-3514.46.3.575 gives the article's pages as 575 to 585.,
10,bibliographic,crossref,brief,The Rubin reference prints a first page in place of a page range,"published, p. 633","Journal of Educational Psychology, 66(5), [[688]].","Journal of Educational Psychology, 66(5), [[688-701]].",doi:10.1037/h0037350 gives the article's pages as 688 to 701.,
11,bibliographic,crossref,brief,The Jones-Correa reference prints an issue-level locator in place of the article's DOI,"published, p. 632",[[doi:10.1111/ssqu.2005.86.issue-3]],[[doi:10.1111/j.0038-4941.2005.00317.x]],The printed string is Wiley's identifier for the whole issue of Social Science Quarterly and resolves to no article. The article's own DOI is given here.,
12,bibliographic,publisher record,brief,The Tajfel reference gives the wrong city and the wrong publisher,"published, p. 633","[[Cambridge, MA: CUP Archive.]]","[[Cambridge, UK: Cambridge University Press.]]","Human Groups and Social Categories was published in 1981 by Cambridge University Press in Cambridge, England. CUP Archive is a digitisation imprint under which the scan is catalogued, not the book's publisher.",
13,bibliographic,publisher record,brief,Both authors' names are mangled in the Valdés and Seoane reference,"published, p. 633","[[Valdés, M., & Seoane, I. M. H.]] (1995).","[[Valdés, M. I., & Seoane, M. H.]] (1995).","The Hispanic Market Handbook is by M. Isabel Valdés and Marta H. Seoane. The first author's second given initial was carried onto the second author's name, the same defect as entry 7.",
