claim_id,location,claim_type,value_paper,digits,units,comparison,needs_block,claim
abstract_presidential_candidate,Abstract (p. 612),definitional,1,0,NA,==,FALSE,one presidential and two congressional: the presidential candidate. Which office a candidate sought is nowhere in the deposited data.
abstract_congressional_candidates,Abstract (p. 612),definitional,2,0,NA,==,FALSE,one presidential and two congressional: the congressional candidates. Same reason.
abstract_two_of_three,Abstract (p. 612),descriptive,NA,0,NA,==,TRUE,"In two of our three experiments, the Spanish-language advertisements increased candidates' electoral support by 5 percentage points among bilinguals"
abstract_effect_five_points,Abstract (p. 612),pipeline,5,0,percentage points,==,TRUE,increased candidates' electoral support by 5 percentage points among bilinguals
intro_year_1960,Introduction (p. 612),definitional,1960,0,NA,==,FALSE,The 1960 presidential campaign featured the first national Spanish-language appeal
intro_ad_minute,Introduction (p. 612),definitional,1,0,minutes,==,FALSE,delivered a minute-long televised ad
intro_year_2014,Introduction (p. 612),definitional,2014,0,NA,==,FALSE,"In March 2014, for example, President Barack Obama participated in a town hall event"
intro_year_2015,Introduction (p. 613),definitional,2015,0,NA,==,FALSE,"In 2015 and 2016, for example, the Republican Party delivered responses to the State of the Union address"
intro_year_2016_sotu,Introduction (p. 613),definitional,2016,0,NA,==,FALSE,In 2015 and 2016: the second year.
intro_sotu_speeches,Introduction (p. 613),definitional,2,0,NA,==,FALSE,the two speeches were markedly different in their content
intro_soto_merolla_year,Introduction (p. 613),definitional,2000,0,NA,==,FALSE,compared the 2000 election turnout rates of Latino survey respondents
intro_hopkins_turnout,Introduction (p. 614),transcribed,11,0,percentage points,==,FALSE,"increasing turnout by 11 percentage points on average. Taken from Hopkins (2011), not from these data."
intro_gotv_experiments,Introduction (p. 614),definitional,2,0,NA,==,FALSE,the two randomized Get Out The Vote experiments that explicitly randomize the language of contact
intro_gotv_explanations,Introduction (p. 614),definitional,2,0,NA,==,FALSE,These authors offer two possible explanations for the negative effect
intro_aflcio_twice,Introduction (p. 614),transcribed,2,0,NA,==,FALSE,twice as likely to describe the Republican Party as anti-immigrant. Taken from Barreto (2013).
intro_candidates_found,Introduction (p. 614),pipeline,3,0,NA,==,TRUE,we were able to find three candidates who produced otherwise identical versions of the same advertisement in both English and Spanish
intro_bush_primary_year,Introduction (p. 614),definitional,2016,0,NA,==,FALSE,Jeb Bush running in the 2016 Republican Presidential Primary
intro_texas_district,Introduction (p. 614),definitional,34,0,NA,==,FALSE,running for Congress in Texas's 34th district
intro_colorado_district,Introduction (p. 614),definitional,6,0,NA,==,FALSE,running for Congress in Colorado's 6th District
intro_advertisements,Introduction (p. 614),pipeline,6,0,NA,==,TRUE,"In all six advertisements, the candidate speaks directly to the camera and in his own voice"
intro_general_election_year,Introduction (p. 615),definitional,2016,0,NA,==,FALSE,the Congressional candidate experiments were conducted in advance of the 2016 general election
intro_bush_recruited,Introduction (p. 615),pipeline,2866,0,NA,==,TRUE,"In the Bush experiment, we recruited 2,866 self-identified bilinguals"
intro_bush_passed,Introduction (p. 615),pipeline,1862,0,NA,==,TRUE,"1,862 of whom passed a simple quiz in both languages"
intro_vela_coffman_recruited,Introduction (p. 615),pipeline,2233,0,NA,==,TRUE,"we similarly recruited a sample of 2,233 bilinguals"
intro_vela_coffman_passed,Introduction (p. 615),pipeline,1681,0,NA,==,TRUE,"of whom 1,681 passed the quiz"
intro_two_questions,Introduction (p. 615),structural,2,0,NA,==,FALSE,We can therefore answer two questions well. A count of the paper's own questions.
intro_preview_bush_effect,Introduction (p. 615),pipeline,5,0,percentage points,==,TRUE,the Spanish-language ad increases the probability that bilingual subjects would vote for Bush by approximately 5 percentage points
theory_mechanisms,Theory and Scope Conditions (p. 615),structural,2,0,NA,==,FALSE,Existing theory suggests two main mechanisms through which language may exert its persuasive impact
theory_control_notation,Theory and Scope Conditions (p. 616),definitional,0,0,NA,==,FALSE,"Yi(0) is the outcome that subject i would express in the absence of any intervention. Notation, not a quantity."
theory_two_parts,Theory and Scope Conditions (p. 616),structural,2,0,NA,==,FALSE,We can decompose Yi(E) and Yi(S) into two parts
theory_subject_types,Table 1 title (p. 616),structural,4,0,NA,==,FALSE,Potential outcomes of four subject types. A count of the rows of Table 1.
theory_second_estimand,Theory and Scope Conditions (p. 616),structural,2,0,NA,==,FALSE,A second estimand is E[gamma_iS - tau_iE]
design_two_estimands,Experimental Design (p. 617),structural,2,0,NA,==,FALSE,The definitions of our two causal estimands
design_two_populations,Experimental Design (p. 617),structural,2,0,NA,==,FALSE,indicate that we have two separate populations of interest
design_sampling_reasons,Sampling Bilinguals (p. 617),structural,2,0,NA,==,FALSE,Obtaining a representative sample of American bilinguals is very costly for two main reasons
design_lucid_ips,Sampling Bilinguals (p. 617),definitional,350000,0,NA,==,FALSE,"approximately 350,000 unique IP addresses per day. A fact about Lucid's exchange; the deposit records no such thing."
design_screening_criteria,Sampling Bilinguals (p. 617),structural,2,0,NA,==,FALSE,We obtained our online convenience sample of bilinguals by screening for two criteria
design_bush_recruited,Sampling Bilinguals (p. 617),pipeline,2866,0,NA,==,TRUE,"we collected responses from 2,866 self-identified Latinos"
design_bush_passed,Sampling Bilinguals (p. 617),pipeline,1862,0,NA,==,TRUE,"of which 1,862 passed a language quiz in both Spanish and English"
design_appendix_quiz_reference,Sampling Bilinguals (p. 617),descriptive,NA,0,NA,==,TRUE,the full text of which is presented in the supplemental Appendix D
design_bush_passed_restated,Sampling Bilinguals (p. 617),pipeline,1862,0,NA,==,TRUE,"We consider these 1,862 who passed the quiz to be bilinguals"
design_vela_coffman_recruited,Sampling Bilinguals (p. 617),pipeline,2233,0,NA,==,TRUE,"we obtained responses from 2,233 self-identified bilinguals"
design_vela_coffman_passed,Sampling Bilinguals (p. 617),pipeline,1681,0,NA,==,TRUE,"1,681 of whom passed the quiz"
design_lns_year,Sampling Bilinguals (p. 617),definitional,2006,0,NA,==,FALSE,bilingual respondents in the 2006 Latino National Survey (LNS)
design_pew_year,Sampling Bilinguals (p. 617),definitional,2012,0,NA,==,FALSE,the 2012 Pew National Survey of Latinos
design_education_levels,Table 2 row label (p. 618),definitional,5,0,NA,==,TRUE,Education(5 levels)
design_income_7_levels,Table 2 row label (p. 618),definitional,7,0,NA,==,TRUE,Income(7 levels)
design_income_9_levels,Table 2 row label (p. 618),definitional,9,0,NA,==,TRUE,Income(9 levels)
design_mono_supplied,Sampling English-Speaking Monolinguals (p. 618),pipeline,2230,0,NA,==,TRUE,"Of the 2,230 nationally representative subjects supplied to us"
design_mono_failed,Sampling English-Speaking Monolinguals (p. 618),pipeline,1344,0,NA,==,TRUE,"1,344 did not pass the language quiz. These subjects constitute our monolingual sample."
design_experiments,Experimental Treatments (p. 618),pipeline,3,0,NA,==,TRUE,"We conducted three separate experiments, each of which followed very similar designs"
design_exp1_day,Experimental Treatments (p. 618),definitional,8,0,NA,==,FALSE,"Experiment 1 was conducted on February 8th, 2016. The deposit carries no timestamp."
design_exp1_year,Experimental Treatments (p. 618),definitional,2016,0,NA,==,FALSE,"Experiment 1 was conducted on February 8th, 2016: the year."
design_exp1_bilinguals,Experimental Treatments (p. 618),pipeline,1862,0,NA,==,TRUE,"among 1,862 bilinguals the day before the New Hampshire primary"
design_factorial_ad_levels,Experimental Treatments (p. 618),definitional,2,0,NA,==,TRUE,We employed a 2 x 2 factorial design in which the first factor was a Spanish- or English-language advertisement
design_factorial_survey_levels,Experimental Treatments (p. 618),definitional,2,0,NA,==,TRUE,a 2 x 2 factorial design: the second factor is the language of the survey itself
