panel,heading,field,english,spanish
Experiment 1,Experiment 1: Jeb Bush (White Republican running in 2016 Presidential primary),title,Jeb: Greatest Century,Jeb: Listo Para Ser Su Líder
Experiment 1,Experiment 1: Jeb Bush (White Republican running in 2016 Presidential primary),length,1:04 min,1:12 min
Experiment 1,Experiment 1: Jeb Bush (White Republican running in 2016 Presidential primary),link,https://www.youtube.com/watch?v=43z_L64GCrs,https://www.youtube.com/watch?v=iwW3Ak_cUEE
Experiment 1,Experiment 1: Jeb Bush (White Republican running in 2016 Presidential primary),transcript,"I’m proud of what we accomplished in Florida; proud we’re able to make a difference to change lives. We grew our economy and led the nation in job growth; defended life and protected women from domestic violence; eliminated waste and balanced budgets; reformed schools and gave every child an opportunity. We led, we reformed, we got results. That’s what’s missing from Washington. The DC crowd talks about what’s wrong with America; I see what’s right. They talk about problems; I see solutions. I see hardworking men and women who are ready to rise; children who are ready to learn; entrepreneurs who are ready to innovate; immigrants who are ready to contribute; America’s bravest who are ready to defend. I see a great country on the verge of its greatest century and I’m ready to lead.","Estoy muy orgulloso de lo que logramos en Florida; orgulloso de haber hecho una diferencia en el estado; de haber mejorado vidas; crecimos nuestra economía y fuimos líderes en la creación de empleos; defendimos el derecho a la vida y protegimos a las mujeres contra la violencia doméstica; eliminamos despilfarros y balanceamos presupuestos; reformamos la educación y le dimos oportunidades a cada niño; lideramos, reformamos, logramos resultados; en Washington solo se enfocan en lo que anda mal. Yo veo lo que está bien. Ellos hablan de los problemas. Yo veo las soluciones. Veo mujeres y hombres trabajadores listos para salir adelante. Niños listos para aprender. Emprendedores listos para innovar. Inmigrantes dispuestos a trabajar. Y los más valientes del país, listos para defendernos. Cuando miro hacia el futuro veo una gran nación a punto de comenzar su mejor siglo y yo estoy listo para ser su líder."
Experiment 2,Experiment 2: Filemon Vela (Latino Democrat running in 2016 Congressional general election),title,Parents,Los Padres
Experiment 2,Experiment 2: Filemon Vela (Latino Democrat running in 2016 Congressional general election),length,0:30 min,0:30 min
Experiment 2,Experiment 2: Filemon Vela (Latino Democrat running in 2016 Congressional general election),link,https://www.youtube.com/watch?v=sWntXjzyDQ8,https://www.youtube.com/watch?v=R7DPMyEGcWM
Experiment 2,Experiment 2: Filemon Vela (Latino Democrat running in 2016 Congressional general election),transcript,"I’m Filemon Vela, and I approve this message. My parents taught me to always be honest, work hard, and do what’s right. They dedicated their lives to public service and to helping people. I’m proud to share those beliefs. I’ve dedicated my life to fighting for people and making sure their voices are heard. I’m not a politician, but if I’m elected to Congress, I give you my word, I’ll dedicate all of my energy into giving you the representation and the voice you deserve in Washington. I’m Filemon Vela and I want to be your next U.S. Congressman.","Yo soy Filemon Vela y yo apruebo este mensaje. Mis padres dedicaron su vida al servicio público y ayudar a la gente. Me siento orgulloso de compartir esa conección. Yo he dedicado mi vida a pelear por la gente, asegurándome que sus voces sean escuchadas. No soy un político pero si soy elegido para el Congreso, tienes mi palabra que voy a dedicar toda mi energía para representar la voz que mereces en Washington. Soy Filemon Vela y quiero ser congresista de los EEUU."
Experiment 3,Experiment 3: Mike Coffman (White Republican running in 2016 Congressional general election),title,Country First,Country First (en Español)
Experiment 3,Experiment 3: Mike Coffman (White Republican running in 2016 Congressional general election),length,0:30 min,0:30 min
Experiment 3,Experiment 3: Mike Coffman (White Republican running in 2016 Congressional general election),link,https://www.youtube.com/watch?v=dA8Yv2tJQfY,https://www.youtube.com/watch?v=XoNJaYLBXMg
Experiment 3,Experiment 3: Mike Coffman (White Republican running in 2016 Congressional general election),transcript,"People ask me, “What do you think about Trump?” Honestly, I don’t care for him much, and I certainly don’t trust Hillary. I’m a Marine. For me, country comes first. My duty is always to you. So if Donald Trump is President, I’ll stand up to him. Plain and simple. And if Hillary wins, I’ll hold her accountable every step of the way. I’m Mike Coffman, and I approve this message. My job is clear: work hard and serve you. That’s what I’ll do.","La gente me pregunta, “Qué crees de Trump?” Honestamente, él no me gusta mucho y no confío en Hillary. Yo soy un Marine. Para mí, mi país siempre viene primero. Entonces, si Donald Trump es el Presidente, yo le hago frente. Si gana Hillary Clinton, haré que su administración diga la verdad. Yo soy Mike Coffman, y apruebo este mensaje. Quien gane, mi deber es a ustedes."
